iter	Passed	Remaining
415	3041	4270
416	3049	4263
417	3056	4256
418	3064	4249
419	3071	4242
420	3079	4234
421	3086	4227
422	3093	4219
423	3101	4212
424	3108	4204
425	3114	4197
426	3121	4189
427	3128	4181
428	3135	4173
429	3142	4165
430	3149	4158
431	3157	4150
432	3164	4143
433	3171	4136
434	3178	4128
435	3185	4121
436	3193	4114
437	3201	4107
438	3208	4100
439	3215	4092
440	3223	4085
441	3230	4078
442	3237	4070
443	3245	4064
444	3252	4056
445	3259	4048
446	3266	4041
447	3273	4033
448	3280	4025
449	3287	4018
450	3294	4010
451	3302	4003
452	3309	3995
453	3316	3988
454	3323	3981
455	3331	3973
456	3338	3966
457	3345	3959
458	3352	3951
459	3359	3944
460	3367	3936
461	3373	3928
462	3381	3921
463	3387	3913
464	3395	3906
465	3402	3898
466	3409	3891
467	3416	3884
468	3423	3876
469	3430	3868
470	3437	3861
471	3445	3854
472	3452	3846
473	3459	3839
474	3467	3832
475	3475	3825
476	3482	3818
477	3490	3811
478	3498	3804
479	3505	3798
480	3513	3790
481	3520	3783
482	3527	3775
483	3534	3768
484	3542	3761
485	3550	3754
486	3557	3747
487	3565	3740
488	3572	3733
489	3579	3725
490	3586	3718
491	3594	3711
492	3601	3703
493	3608	3696
494	3615	3688
495	3622	3681
496	3629	3673
497	3636	3665
498	3643	3658
499	3650	3650
500	3657	3643
501	3664	3635
502	3671	3628
503	3679	3620
504	3686	3613
505	3692	3605
506	3699	3597
507	3706	3589
508	3713	3582
509	3719	3573
510	3726	3565
511	3733	3558
512	3742	3552
513	3749	3544
514	3756	3537
515	3762	3529
516	3769	3521
517	3776	3514
518	3784	3507
519	3791	3499
520	3798	3492
521	3805	3484
522	3812	3477
523	3820	3470
524	3827	3462
525	3834	3455
526	3841	3448
527	3849	3441
528	3856	3433
529	3863	3426
530	3871	3419
531	3878	3411
532	3885	3403
533	3891	3396
534	3899	3388
535	3906	3381
536	3913	3374
537	3921	3367
538	3928	3359
539	3935	3352
540	3942	3344
541	3949	3337
542	3956	3330
543	3964	3323
544	3971	3315
545	3978	3308
546	3985	3300
547	3992	3293
548	4000	3286
549	4007	3278
550	4014	3270
551	4021	3263
552	4028	3256
553	4035	3249
554	4043	3241
555	4050	3234
556	4058	3227
557	4065	3219
558	4072	3212
559	4079	3205
560	4086	3197
561	4093	3190
562	4100	3182
563	4108	3176
564	4116	3169
565	4123	3161
566	4131	3155
567	4139	3148
568	4146	3140
569	4154	3133
570	4161	3126
571	4168	3119
572	4175	3111
573	4182	3104
574	4190	3097
575	4197	3089
576	4204	3082
577	4211	3074
578	4218	3067
579	4225	3059
580	4232	3052
581	4239	3044
582	4246	3037
583	4253	3030
584	4260	3022
585	4267	3015
586	4274	3007
587	4281	3000
588	4288	2992
589	4295	2985
590	4302	2977
591	4310	2970
592	4317	2963
593	4324	2955
594	4331	2948
595	4339	2941
596	4346	2934
597	4353	2926
598	4361	2919
599	4368	2912
600	4375	2904
601	4382	2897
602	4389	2890
603	4397	2882
604	4404	2875
605	4411	2868
606	4419	2861
607	4426	2853
608	4433	2846
609	4440	2838
610	4447	2831
611	4454	2824
612	4461	2816
613	4468	2809
614	4476	2802
615	4483	2794
616	4490	2787
617	4497	2779
618	4504	2772
619	4511	2764
620	4518	2757
621	4524	2749
622	4531	2742
623	4538	2734
624	4546	2727
625	4553	2720
626	4560	2713
627	4568	2706
628	4575	2698
629	4583	2691
630	4590	2684
631	4598	2677
632	4605	2670
633	4612	2662
634	4619	2655
635	4626	2647
636	4633	2640
637	4641	2633
638	4648	2625
639	4655	2618
640	4662	2611
641	4669	2603
642	4676	2596
643	4682	2588
644	4689	2581
645	4696	2573
646	4703	2566
647	4710	2558
648	4717	2551
649	4727	2545
650	4734	2538
651	4741	2530
652	4749	2523
653	4756	2516
654	4762	2508
655	4769	2501
656	4776	2493
657	4783	2486
658	4790	2479
659	4798	2471
660	4805	2464
661	4812	2457
662	4819	2449
663	4826	2442
664	4834	2435
665	4842	2428
666	4850	2421
667	4859	2414
668	4866	2407
669	4873	2400
670	4880	2392
671	4887	2385
672	4894	2378
673	4902	2371
674	4909	2363
675	4916	2356
676	4923	2349
677	4930	2341
678	4938	2334
679	4946	2327
680	4953	2320
681	4960	2313
682	4968	2305
683	4975	2298
684	4982	2291
685	4989	2283
686	4996	2276
687	5003	2268
688	5010	2261
689	5017	2254
690	5025	2247
691	5033	2240
692	5040	2232
693	5047	2225
694	5058	2219
695	5066	2213
696	5073	2205
697	5080	2198
698	5087	2190
699	5095	2183
700	5103	2176
701	5110	2169
702	5117	2161
703	5124	2154
704	5132	2147
705	5139	2140
706	5147	2133
707	5159	2128
708	5168	2121
709	5178	2115
710	5187	2108
711	5199	2103
712	5212	2098
713	5221	2091
714	5232	2085
715	5247	2081
716	5257	2075
717	5265	2067
718	5272	2060
719	5279	2053
720	5286	2045
721	5293	2038
722	5301	2031
723	5308	2023
724	5316	2016
725	5322	2008
726	5330	2001
727	5338	1994
728	5345	1987
729	5352	1979
730	5360	1972
731	5367	1965
732	5374	1957
733	5381	1950
734	5388	1942
735	5395	1935
736	5403	1928
737	5410	1920
738	5417	1913
739	5425	1906
740	5431	1898
741	5439	1891
742	5446	1883
743	5453	1876
744	5460	1869
745	5467	1861
746	5474	1854
747	5482	1846
748	5489	1839
749	5496	1832
750	5503	1824
751	5511	1817
752	5518	1810
753	5525	1802
754	5533	1795
755	5541	1788
756	5548	1781
757	5555	1773
758	5563	1766
759	5570	1759
760	5577	1751
761	5585	1744
762	5592	1737
763	5599	1729
764	5607	1722
765	5614	1715
766	5622	1707
767	5629	1700
768	5636	1693
769	5643	1685
770	5650	1678
771	5658	1671
772	5665	1663
773	5672	1656
774	5679	1648
775	5687	1641
776	5694	1634
777	5701	1626
778	5708	1619
779	5717	1612
780	5725	1605
781	5732	1598
782	5739	1590
783	5747	1583
784	5754	1575
785	5761	1568
786	5768	1561
787	5775	1553
788	5782	1546
789	5790	1539
790	5796	1531
791	5804	1524
792	5811	1516
793	5818	1509
794	5826	1502
795	5833	1495
796	5841	1487
797	5848	1480
798	5855	1472
799	5862	1465
800	5869	1458
801	5876	1450
802	5884	1443
803	5891	1436
804	5898	1428
805	5905	1421
806	5913	1414
807	5920	1406
808	5927	1399
809	5934	1392
810	5942	1384
811	5949	1377
812	5956	1369
813	5963	1362
814	5970	1355
815	5977	1347
816	5984	1340
817	5991	1333
818	5998	1325
819	6006	1318
820	6013	1311
821	6020	1303
822	6028	1296
823	6035	1289
824	6042	1281
825	6049	1274
826	6056	1266
827	6063	1259
828	6070	1252
829	6078	1244
830	6085	1237
831	6092	1230
832	6099	1222
833	6106	1215
834	6113	1208
835	6120	1200
836	6128	1193
837	6135	1186
838	6141	1178
839	6148	1171
840	6155	1163
841	6162	1156
842	6170	1149
843	6177	1141
844	6185	1134
845	6192	1127
846	6199	1119
847	6206	1112
848	6213	1105
849	6221	1097
850	6229	1090
851	6237	1083
852	6245	1076
853	6252	1068
854	6259	1061
855	6266	1054
856	6273	1046
857	6280	1039
858	6287	1032
859	6294	1024
860	6301	1017
861	6309	1010
862	6316	1002
863	6323	995
864	6330	987
865	6338	980
866	6345	973
867	6352	966
868	6360	958
869	6367	951
870	6374	944
871	6381	936
872	6388	929
873	6396	922
874	6403	914
875	6411	907
876	6418	900
877	6425	892
878	6432	885
879	6440	878
880	6447	870
881	6454	863
882	6461	856
883	6469	848
884	6476	841
885	6483	834
886	6491	826
887	6497	819
888	6505	812
889	6512	804
890	6520	797
891	6527	790
892	6534	782
893	6541	775
894	6549	768
895	6556	761
896	6564	753
897	6571	746
898	6578	739
899	6586	731
900	6593	724
901	6600	717
902	6608	709
903	6615	702
904	6623	695
905	6630	687
906	6637	680
907	6644	673
908	6651	665
909	6658	658
910	6666	651
911	6673	643
912	6680	636
913	6687	629
914	6695	621
915	6704	614
916	6711	607
917	6718	600
918	6724	592
919	6732	585
920	6739	578
921	6746	570
922	6754	563
923	6761	556
924	6768	548
925	6776	541
926	6783	534
927	6790	526
928	6797	519
929	6805	512
930	6812	504
931	6819	497
932	6826	490
933	6832	482
934	6840	475
935	6847	468
936	6853	460
937	6860	453
938	6867	446
939	6875	438
940	6882	431
941	6889	424
942	6896	416
943	6904	409
944	6911	402
945	6918	394
946	6926	387
947	6933	380
948	6940	372
949	6946	365
950	6953	358
951	6961	350
952	6968	343
953	6975	336
954	6982	329
955	6989	321
956	6996	314
957	7004	307
958	7011	299
959	7018	292
960	7026	285
961	7033	277
962	7040	270
963	7047	263
964	7054	255
965	7061	248
966	7068	241
967	7076	233
968	7083	226
969	7090	219
970	7098	211
971	7105	204
972	7113	197
973	7120	190
974	7128	182
975	7135	175
976	7142	168
977	7149	160
978	7156	153
979	7163	146
980	7170	138
981	7177	131
982	7185	124
983	7192	116
984	7198	109
985	7206	102
986	7214	95
987	7221	87
988	7228	80
989	7235	73
990	7243	65
991	7249	58
992	7256	51
993	7264	43
994	7271	36
995	7278	29
996	7285	21
997	7292	14
998	7299	7
999	7307	0
